S01	S02	S03	S04	S06	S07
ASV_495	0	0	0	0	0	17
ASV_496	0	16	0	0	0	0
ASV_497	0	0	16	0	0	0
ASV_498	0	0	16	0	0	0
ASV_499	0	0	0	0	16	0
ASV_500	0	0	0	0	16	0
ASV_501	0	0	0	0	0	16
ASV_502	0	0	0	0	0	16
ASV_503	0	0	0	0	0	16
ASV_504	0	0	0	0	0	16
ASV_505	0	0	0	0	0	16
ASV_506	15	0	0	0	0	0
ASV_507	15	0	0	0	0	0
ASV_508	15	0	0	0	0	0
ASV_509	0	15	0	0	0	0
ASV_510	0	0	15	0	0	0
ASV_511	0	0	3	12	0	0
ASV_512	0	0	0	15	0	0
ASV_513	0	0	0	0	15	0
ASV_514	0	0	0	0	15	0
ASV_515	0	0	0	0	0	15
ASV_516	14	0	0	0	0	0
ASV_517	4	0	0	0	0	10
ASV_518	0	14	0	0	0	0
ASV_519	0	14	0	0	0	0
ASV_520	0	14	0	0	0	0
ASV_521	0	0	2	0	12	0
ASV_522	0	0	0	14	0	0
ASV_523	0	0	0	0	14	0
ASV_524	0	0	0	0	14	0
ASV_525	0	0	0	0	14	0
ASV_526	0	0	0	0	14	0
ASV_527	0	0	0	0	9	5
ASV_528	0	0	0	0	6	8
ASV_529	0	0	0	0	2	12
ASV_530	0	0	0	0	14	0
ASV_531	0	0	0	0	0	14
ASV_532	0	0	0	0	0	14
ASV_533	9	0	0	0	4	0
ASV_534	13	0	0	0	0	0
ASV_535	0	13	0	0	0	0
ASV_536	0	0	13	0	0	0
ASV_537	0	0	0	13	0	0
ASV_538	0	0	0	8	0	5
ASV_539	0	0	0	0	13	0
ASV_540	0	0	0	0	13	0
ASV_541	0	0	0	0	0	13
ASV_542	0	0	0	0	0	13
ASV_543	12	0	0	0	0	0
ASV_544	12	0	0	0	0	0
ASV_545	4	0	0	8	0	0
ASV_546	4	0	5	3	0	0
ASV_547	0	12	0	0	0	0
ASV_548	0	0	12	0	0	0
ASV_549	0	0	0	12	0	0
ASV_550	0	0	0	12	0	0
ASV_551	0	0	0	12	0	0
ASV_552	0	0	0	0	12	0
ASV_553	0	0	0	0	8	4
ASV_554	0	0	0	0	12	0
ASV_555	0	0	0	0	9	3
ASV_556	0	0	0	0	0	12
ASV_557	0	0	0	0	0	12
ASV_558	0	0	0	0	0	12
ASV_559	0	0	0	0	0	12
ASV_560	11	0	0	0	0	0
ASV_561	5	0	0	0	6	0
ASV_562	11	0	0	0	0	0
ASV_563	0	11	0	0	0	0
ASV_564	0	11	0	0	0	0
ASV_565	0	11	0	0	0	0
ASV_566	0	11	0	0	0	0
ASV_567	0	11	0	0	0	0
ASV_568	0	0	0	7	0	4
ASV_569	0	0	0	11	0	0
ASV_570	0	0	0	4	7	0
ASV_571	0	0	0	0	11	0
ASV_572	0	0	0	0	11	0
ASV_573	0	0	0	0	11	0
ASV_574	0	0	0	0	11	0
ASV_575	0	0	0	0	11	0
ASV_576	0	0	0	0	6	5
ASV_577	0	0	0	0	11	0
ASV_578	0	0	0	0	0	11
ASV_579	0	0	0	0	0	11
ASV_580	0	0	0	0	0	11
ASV_581	0	0	0	0	0	11
ASV_582	10	0	0	0	0	0
ASV_583	10	0	0	0	0	0
ASV_584	10	0	0	0	0	0
ASV_585	10	0	0	0	0	0
ASV_586	10	0	0	0	0	0
ASV_587	10	0	0	0	0	0
ASV_588	5	0	5	0	0	0
ASV_589	0	10	0	0	0	0
ASV_590	0	10	0	0	0	0
ASV_591	0	0	0	0	10	0
ASV_592	0	0	0	0	10	0
ASV_593	0	0	0	0	4	6
ASV_594	0	0	0	0	10	0
ASV_595	0	0	0	0	0	10
ASV_596	0	0	0	0	0	10
ASV_597	9	0	0	0	0	0
ASV_598	9	0	0	0	0	0
ASV_599	9	0	0	0	0	0
ASV_600	0	9	0	0	0	0
ASV_601	0	9	0	0	0	0
ASV_602	0	0	0	9	0	0
ASV_603	0	0	0	9	0	0
ASV_604	0	0	0	9	0	0
ASV_605	0	0	0	0	9	0
ASV_606	0	0	0	0	9	0
ASV_607	0	0	0	0	9	0
ASV_608	0	0	0	0	9	0
ASV_609	0	0	0	0	9	0
ASV_610	0	0	0	0	9	0
ASV_611	0	0	0	0	0	9
ASV_612	0	0	0	0	0	9
ASV_613	0	0	0	0	0	9
ASV_614	8	0	0	0	0	0
ASV_615	8	0	0	0	0	0
ASV_616	8	0	0	0	0	0
ASV_617	8	0	0	0	0	0
ASV_618	8	0	0	0	0	0
ASV_619	0	8	0	0	0	0
ASV_620	0	0	8	0	0	0
ASV_621	0	0	8	0	0	0
ASV_622	0	0	8	0	0	0
ASV_623	0	0	0	8	0	0
ASV_624	0	0	0	0	8	0
ASV_625	0	0	0	0	8	0
ASV_626	0	0	0	0	8	0
ASV_627	0	0	0	0	0	8
ASV_628	0	0	0	0	0	8
ASV_629	0	0	0	0	0	8
ASV_630	0	0	0	0	0	8
ASV_631	0	0	0	0	0	8
ASV_632	0	0	0	0	0	8
ASV_633	0	0	0	0	0	8
ASV_634	0	0	0	0	0	8
ASV_635	0	0	0	0	0	8
ASV_636	7	0	0	0	0	0
ASV_637	7	0	0	0	0	0
ASV_638	7	0	0	0	0	0
ASV_639	7	0	0	0	0	0
ASV_640	0	7	0	0	0	0
ASV_641	0	7	0	0	0	0
ASV_642	0	7	0	0	0	0
ASV_643	0	7	0	0	0	0
ASV_644	0	7	0	0	0	0
ASV_645	0	0	7	0	0	0
ASV_646	0	0	7	0	0	0
ASV_647	0	0	0	7	0	0
ASV_648	0	0	0	7	0	0
ASV_649	0	0	0	7	0	0
ASV_650	0	0	0	4	3	0
ASV_651	0	0	0	7	0	0
ASV_652	0	0	0	0	7	0
ASV_653	0	0	0	0	7	0
ASV_654	0	0	0	0	7	0
ASV_655	0	0	0	0	7	0
ASV_656	0	0	0	0	7	0
ASV_657	0	0	0	0	7	0
ASV_658	0	0	0	0	7	0
ASV_659	0	0	0	0	7	0
ASV_660	0	0	0	0	7	0
ASV_661	0	0	0	0	7	0
ASV_662	0	0	0	0	7	0
ASV_663	0	0	0	0	7	0
ASV_664	0	0	0	0	7	0
ASV_665	0	0	0	0	0	7
